cumulative_proportion,p_value
0.783,0.82313
0.784,0.824587
0.785,0.825996
0.786,0.827491
0.787,0.828719
0.788,0.8298
0.789,0.830981
0.79,0.832015
0.791,0.833752
0.792,0.835003
0.793,0.836449
0.794,0.838162
0.795,0.839738
0.796,0.841027
0.797,0.84238
0.798,0.844031
0.799,0.84533
0.8,0.846457
0.801,0.847857
0.802,0.849292
0.803,0.850873
0.804,0.851947
0.805,0.852957
0.806,0.853955
0.807,0.855797
0.808,0.856838
0.809,0.858564
0.81,0.859639
0.811,0.860617
0.812,0.862065
0.813,0.863686
0.814,0.865098
0.815,0.866714
0.816,0.868537
0.817,0.86997
0.818,0.871559
0.819,0.87301
0.82,0.874773
0.821,0.876969
0.822,0.878544
0.823,0.879847
0.824,0.88168
0.825,0.883614
0.826,0.885246
0.827,0.886237
0.828,0.887819
0.829,0.889295
0.83,0.890809
0.831,0.892508
0.832,0.894468
0.833,0.896189
0.834,0.897917
0.835,0.899417
0.836,0.900372
0.837,0.901526
0.838,0.90269
0.839,0.904136
0.84,0.905828
0.841,0.907267
0.842,0.908772
0.843,0.910028
0.844,0.911349
0.845,0.912731
0.846,0.914524
0.847,0.916001
0.848,0.917909
0.849,0.919466
0.85,0.921081
0.851,0.922885
0.852,0.924655
0.853,0.926599
0.854,0.928084
0.855,0.929299
0.856,0.930071
0.857,0.93159
0.858,0.933006
0.859,0.934483
0.86,0.936182
0.861,0.937757
0.862,0.939093
0.863,0.940661
0.864,0.942205
0.865,0.943809
0.866,0.944987
0.867,0.946374
0.868,0.948109
0.869,0.950353
0.87,0.952551
0.871,0.954119
0.872,0.955395
0.873,0.95733
0.874,0.959452
0.875,0.960957
0.876,0.963155
0.877,0.96482
0.878,0.96629
0.879,0.967912
0.88,0.969977
0.881,0.971851
0.882,0.973469
0.883,0.975795
0.884,0.978186
0.885,0.980441
0.886,0.983257
0.887,0.985376
0.888,0.987219
0.889,0.989897
0.89,0.9925
0.891,0.995087
0.892,0.998796
0.893,1.0
0.894,1.0
0.895,1.0
0.896,1.0
0.897,1.0
0.898,1.0
0.899,1.0
0.9,1.0
0.901,1.0
0.902,1.0
0.903,1.0
0.904,1.0
0.905,1.0
0.906,1.0
0.907,1.0
0.908,1.0
0.909,1.0
0.91,1.0
0.911,1.0
0.912,1.0
0.913,1.0
0.914,1.0
0.915,1.0
0.916,1.0
0.917,1.0
0.918,1.0
0.919,1.0
0.92,1.0
0.921,1.0
0.922,1.0
0.923,1.0
0.924,1.0
0.925,1.0
0.926,1.0
0.927,1.0
0.928,1.0
0.929,1.0
0.93,1.0
0.931,1.0
0.932,1.0
0.933,1.0
0.934,1.0
0.935,1.0
0.936,1.0
0.937,1.0
0.938,1.0
0.939,1.0
0.94,1.0
0.941,1.0
0.942,1.0
0.943,1.0
0.944,1.0
0.945,1.0
0.946,1.0
0.947,1.0
0.948,1.0
0.949,1.0
0.95,1.0
0.951,1.0
0.952,1.0
0.953,1.0
0.954,1.0
0.955,1.0
0.956,1.0
0.957,1.0
0.958,1.0
0.959,1.0
0.96,1.0
0.961,1.0
0.962,1.0
0.963,1.0
0.964,1.0
0.965,1.0
0.966,1.0
0.967,1.0
0.968,1.0
0.969,1.0
0.97,1.0
0.971,1.0
0.972,1.0
0.973,1.0
0.974,1.0
0.975,1.0
0.976,1.0
0.977,1.0
0.978,1.0
0.979,1.0
0.98,1.0
0.981,1.0
0.982,1.0
0.983,1.0
0.984,1.0
0.985,1.0
0.986,1.0
0.987,1.0
0.988,1.0
0.989,1.0
0.99,1.0
0.991,1.0
0.992,1.0
0.993,1.0
0.994,1.0
0.995,1.0
0.996,1.0
0.997,1.0
0.998,1.0
0.999,1.0
1.0,1.0
